,,,,Submit new DC Emoji here!,,,,,,
,Emoji name,,ID#,"Don't edit, add digital ID to column C",UUID,,,,,
"""\uD83D\uDE1A""",kissingfacewithclosedeyes,😚,,,http://digitalcollections.nypl.org/items/5e66b3e8-f9f3-d471-e040-e00a180654d7,,,,,
"""\uD83D\uDE1C""",facewithstuckouttongueandwinkingeye,😜,,,http://digitalcollections.nypl.org/items/510d47e3-64ab-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDE1E""",disappointedface,😞,3925708,,http://digitalcollections.nypl.org/items/aa16d2ae-757f-3443-e040-e00a18067692,,,,,
"""\uD83D\uDE21""",poutingface,😡,,,,,,,,
"""\uD83D\uDE23""",perseveringface,😣,,,http://digitalcollections.nypl.org/items/5e66b3e9-217b-d471-e040-e00a180654d7,,,,,
"""\uD83D\uDE24""",facewithlookoftriumph,😤,,,,,,,,
"""\uD83D\uDE25""",disappointedbutrelievedface,😥,3925726,,http://digitalcollections.nypl.org/items/aa16d2ae-7591-3443-e040-e00a18067692,,,,,
"""\uD83D\uDE28""",fearfulface,😨,3925796,,http://digitalcollections.nypl.org/items/aa16d2ae-75d7-3443-e040-e00a18067692,,,,,
"""\uD83D\uDE29""",wearyface,😩,,,http://digitalcollections.nypl.org/items/510d47e2-f6f9-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDE2F""",hushedface,😯,,,http://digitalcollections.nypl.org/items/510d47e2-f719-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDE33""",flushedface,😳,,,,,,,,
"""\uD83D\uDE35""",dizzyface,😵,3925792,,http://digitalcollections.nypl.org/items/aa16d2ae-75d3-3443-e040-e00a18067692,,,,,
"""\uD83D\uDE3B""",smilingcatfacewithheartshapedeyes,😻,1182522,,,http://digitalcollections.nypl.org/items/510d47de-ea0c-a3d9-e040-e00a18064a99,,,,
"""\uD83D\uDE3D""",kissingcatfacewithclosedeyes,😽,5197798,,http://digitalcollections.nypl.org/items/68a46690-e04c-0131-ddd9-58d385a7bbd0,,,,,
"""\uD83D\uDE40""",wearycatface,🙀,411446,,http://digitalcollections.nypl.org/items/510d47da-9b69-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDE41""",slightlyfrowningface,🙁,,,http://digitalcollections.nypl.org/items/510d47e1-43c1-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDE42""",slightlysmilingface,🙂,,,http://digitalcollections.nypl.org/items/d9a432d0-e04a-0131-8623-58d385a7bbd0,,,,,
"""\uD83D\uDE42""",slightlysmilingface,🙂,,,http://digitalcollections.nypl.org/items/d9a432d0-e04a-0131-8623-58d385a7bbd0,,,,,
"""\uD83D\uDE43""",upside-downface,🙃,variety_0211v,,http://digitalcollections.nypl.org/items/8d6a1137-4bf6-1b84-e040-e00a1806585b,http://digitalcollections.nypl.org/items/8d9313d0-97f0-9154-e040-e00a1806770f,,,,
"""\uD83D\uDE44""",facewithrollingeyes,🙄,3925818,,http://digitalcollections.nypl.org/items/aa16d2ae-75ed-3443-e040-e00a18067692,,,,,
"""\uD83D\uDE89""",station,🚉,psnypl_mss_1206,,http://digitalcollections.nypl.org/items/510d47e4-8418-a3d9-e040-e00a18064a99,http://digitalcollections.nypl.org/items/9154e0ad-1c25-6f41-e040-e00a180667ae,,,,
"""\uD83D\uDE99""",recreationalvehicle,🚙,434214,,http://digitalcollections.nypl.org/items/510d47da-d985-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDEA6""",verticaltrafficlight,🚦,3985237,,http://digitalcollections.nypl.org/items/b4afdefd-4cd1-146a-e040-e00a180610a2,,,,,
"""\uD83D\uDEAC""",smokingsymbol,🚬,3984118,,http://digitalcollections.nypl.org/items/b48cc5d3-f26c-175e-e040-e00a180651cd,http://digitalcollections.nypl.org/items/5dd7ac50-e052-0131-d0e0-58d385a7b928,,,,
"""\uD83D\uDEAD""",nosmokingsymbol,🚭,1599612,,http://digitalcollections.nypl.org/items/510d47e3-7831-a3d9-e040-e00a18064a99,http://digitalcollections.nypl.org/items/510d47db-435c-a3d9-e040-e00a18064a99,,,,
"""\uD83D\uDECC""",sleepingaccommodation,🛌,1653017,,http://digitalcollections.nypl.org/items/5e66b3e8-ae05-d471-e040-e00a180654d7,,,,,
"""\uD83D\uDECD""",shoppingbags,🛍,732559F,,http://digitalcollections.nypl.org/items/510d47dd-9ed4-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDEE1""",shield,🛡,g00c136_001,,http://digitalcollections.nypl.org/items/510d47da-5426-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDEE2""",oildrum,🛢,112168,,http://digitalcollections.nypl.org/items/510d47d9-b645-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDEE3""",motorway,🛣,74602,,http://digitalcollections.nypl.org/items/510d47d9-9dcb-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDEE4""",railwaytrack,🛤,G91F032_209F,,http://digitalcollections.nypl.org/items/510d47e1-8b78-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDEE5""",motorboat,🛥,100503,,http://digitalcollections.nypl.org/items/510d47d9-bac2-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDEEB""",airplanedeparture,🛫,1525195,,http://digitalcollections.nypl.org/items/510d47e2-279e-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDEEC""",airplanearriving,🛬,1803861,,http://digitalcollections.nypl.org/items/78309df1-1093-23cc-e040-e00a180647e6,,,,,
"""\uD83D\uDEF3""",passengership,🛳,473542,,http://digitalcollections.nypl.org/items/510d47db-7e75-a3d9-e040-e00a18064a99,,,,,
"""\uD83E\uDD13""",nerdface,🤓,5164168,,http://digitalcollections.nypl.org/items/076d9b40-2289-0132-83ed-58d385a7bbd0,http://digitalcollections.nypl.org/items/ba309cea-95e2-4288-e040-e00a18066c61,,,,
"""\uD83E\uDD14""",thinkingface,🤔,3970513,,http://digitalcollections.nypl.org/items/b16926af-3eff-6b2f-e040-e00a1806531a,,,,,
"""\uD83E\uDD15""",facewithhead-bandage,🤕,1570099,,http://digitalcollections.nypl.org/items/510d47e3-0218-a3d9-e040-e00a18064a99,,,,,
"""\uD83E\uDD17""",huggingface,🤗,1668471,,http://digitalcollections.nypl.org/items/5e66b3e9-20ff-d471-e040-e00a180654d7,,,,,
\u00A9,copyrightsign,©,473253,,http://digitalcollections.nypl.org/items/510d47db-9017-a3d9-e040-e00a18064a99,,,,,
\u203c,doubleexclamationmark,‼,5033966,,http://digitalcollections.nypl.org/items/cac75740-9311-0130-4b0e-58d385a7b928,,,,,
\u2139,informationsource,ℹ,1675859,,http://digitalcollections.nypl.org/items/5e66b3e8-7bf1-d471-e040-e00a180654d7,,,,,
\u221E,infinity,∞,1580708,,http://digitalcollections.nypl.org/items/510d47e3-534c-a3d9-e040-e00a18064a99,,,,,
\u231A,watch,⌚,1669953,,http://digitalcollections.nypl.org/items/5e66b3e8-e288-d471-e040-e00a180654d7,,,,,
\u231B,hourglass,⌛,1157676,,http://digitalcollections.nypl.org/items/510d47dd-f3eb-a3d9-e040-e00a18064a99,,,,,
\u23E9,blackrightpointingdoubletriangle,⏩,1221369,,http://digitalcollections.nypl.org/items/510d47d9-c906-a3d9-e040-e00a18064a99,,,,,
\u23f0,alarmclock,⏰,1643110,,http://digitalcollections.nypl.org/items/510d47e4-7a69-a3d9-e040-e00a18064a99,,,,,
\u23F1,Stopwatch,⏱,1112477,,http://digitalcollections.nypl.org/items/510d47dc-99f2-a3d9-e040-e00a18064a99,,,,,
\u23f3,hourglasswithflowingsand,⏳,1189078,,http://digitalcollections.nypl.org/items/510d47de-32f7-a3d9-e040-e00a18064a99,,,,,
